"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Phyhipl",2.05672976837202e-25,0.501765584218285,0.658,0.294,6.64076907611959e-21
"6","Ripor2",2.09907623395653e-25,0.69961445226835,0.903,0.649,6.77749734419884e-21
"6","Ndrg4",2.56040806643835e-25,0.603491321040427,1,0.926,8.26704556491616e-21
"6","Gap43",3.28481502259885e-25,0.563074404748845,0.91,0.623,1.06060107449672e-20
"6","Ngef",3.75799215696013e-25,0.599651277095754,0.839,0.507,1.21338050763929e-20
"6","Mapk10",4.85622095812872e-25,0.505665956685997,1,0.976,1.5679766229606e-20
"6","Cyth3",4.8810916256979e-25,0.531997734226961,0.677,0.311,1.57600686410534e-20
"6","Usp29",6.66190602767926e-25,0.631416698863318,0.948,0.707,2.15099621821708e-20
"6","Uap1",7.86764751864846e-25,0.442624833793003,0.529,0.197,2.54030603082121e-20
"6","Iqsec1",1.55253794872327e-24,0.57159268418178,0.987,0.85,5.01283452883769e-20
"6","Rasgrp1",1.73383925603719e-24,0.6356975282929,0.877,0.591,5.59822018989286e-20
"6","Kcnip1",3.62860174911737e-24,0.488204311313362,0.387,0.114,1.17160293275502e-19
"6","Rgs8",3.68202823315363e-24,0.385433068655153,0.445,0.146,1.18885327592064e-19
"6","Gm45159",3.71058294635032e-24,0.553800858786785,0.781,0.423,1.19807302171759e-19
"6","Zmiz1",4.08398460081651e-24,0.55157150137609,0.748,0.367,1.31863694791164e-19
"6","Pcca",4.21860426599927e-24,0.567071996595061,0.91,0.634,1.36210294540584e-19
"6","Rnf180",4.37338674108005e-24,0.580741755563617,0.755,0.394,1.41207911095993e-19
"6","Carmil1",4.43778519542036e-24,0.579667696208232,0.819,0.483,1.43287208389733e-19
"6","Sh2d5",6.4731790365993e-24,0.344985980701006,0.49,0.168,2.09006004733718e-19
"6","Plekha7",8.63800613161941e-24,0.338132905433607,0.665,0.264,2.78903941977728e-19
"6","Sox5",9.17149204967908e-24,0.60265704372557,0.916,0.471,2.96129135300038e-19
"6","B3galt1",9.90614552776528e-24,0.620676733016288,0.968,0.91,3.19849626800485e-19
"6","Cacnb2",1.1253932127106e-23,0.551989835914958,0.987,0.859,3.63366960519999e-19
